match_id,season_id,match_date,home_team_id,away_team_id,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result
284,1,2016-03-05,26,21,1,0,H,0,0,D
285,1,2016-03-05,27,1,2,2,D,0,1,A
286,1,2016-03-05,28,15,0,1,A,0,0,D
287,1,2016-03-06,9,16,1,2,A,0,0,D
288,1,2016-03-06,29,18,1,0,H,0,0,D
289,1,2016-03-12,3,26,3,2,H,1,1,D
290,1,2016-03-12,21,17,0,0,D,0,0,D
291,1,2016-03-12,24,23,1,2,A,0,2,A
292,1,2016-03-13,2,27,0,2,A,0,1,A
293,1,2016-03-14,15,20,1,0,H,1,0,H
294,1,2016-03-19,8,30,2,2,D,1,1,D
295,1,2016-03-19,9,15,0,1,A,0,1,A
296,1,2016-03-19,10,1,0,2,A,0,2,A
297,1,2016-03-19,26,2,1,0,H,0,0,D
298,1,2016-03-19,28,24,1,2,A,0,1,A
299,1,2016-03-19,29,21,0,1,A,0,0,D
300,1,2016-03-20,17,18,0,1,A,0,1,A
301,1,2016-03-20,20,25,1,1,D,0,1,A
302,1,2016-03-20,23,16,3,2,H,0,2,A
303,1,2016-03-20,27,3,3,0,H,2,0,H
304,1,2016-04-02,1,28,4,0,H,2,0,H
305,1,2016-04-02,2,8,0,4,A,0,2,A
306,1,2016-04-02,3,17,0,4,A,0,3,A
307,1,2016-04-02,16,27,1,1,D,0,0,D
308,1,2016-04-02,21,20,3,2,H,1,0,H
309,1,2016-04-02,24,26,2,2,D,1,0,H
310,1,2016-04-02,25,29,0,0,D,0,0,D
311,1,2016-04-02,30,9,2,2,D,2,1,H
312,1,2016-04-03,15,23,1,0,H,1,0,H
313,1,2016-04-03,18,10,1,0,H,0,0,D
314,1,2016-04-09,2,3,1,2,A,0,1,A
315,1,2016-04-09,9,21,1,0,H,0,0,D
316,1,2016-04-09,17,29,2,1,H,1,1,D
317,1,2016-04-09,23,20,3,1,H,2,0,H
318,1,2016-04-09,26,8,1,0,H,1,0,H
319,1,2016-04-09,28,10,1,1,D,1,1,D
320,1,2016-04-09,30,1,3,3,D,2,2,D
321,1,2016-04-10,16,24,4,1,H,2,1,H
322,1,2016-04-10,25,15,0,2,A,0,0,D
323,1,2016-04-10,27,18,3,0,H,0,0,D
324,1,2016-04-13,9,10,0,0,D,0,0,D
325,1,2016-04-16,8,17,0,3,A,0,1,A
326,1,2016-04-16,10,23,1,1,D,0,0,D
327,1,2016-04-16,18,2,1,0,H,1,0,H
328,1,2016-04-16,20,26,3,0,H,1,0,H
329,1,2016-04-16,21,25,0,3,A,0,1,A
330,1,2016-04-16,29,28,0,1,A,0,1,A
331,1,2016-04-17,1,9,1,1,D,1,0,H
332,1,2016-04-17,3,16,1,2,A,0,2,A
333,1,2016-04-17,15,30,2,2,D,1,0,H
334,1,2016-04-18,24,27,0,4,A,0,1,A
335,1,2016-04-19,20,17,1,1,D,1,1,D
336,1,2016-04-20,16,10,4,0,H,2,0,H
337,1,2016-04-20,18,9,2,0,H,1,0,H
338,1,2016-04-20,30,28,3,1,H,2,0,H
339,1,2016-04-21,1,29,2,0,H,2,0,H
340,1,2016-04-23,2,23,2,4,A,1,2,A
341,1,2016-04-23,3,8,1,4,A,1,2,A
342,1,2016-04-23,16,20,2,2,D,2,0,H
343,1,2016-04-23,17,24,4,0,H,2,0,H
344,1,2016-04-24,15,26,4,0,H,2,0,H
345,1,2016-04-24,25,1,0,0,D,0,0,D
346,1,2016-04-25,27,29,1,1,D,1,0,H
347,1,2016-04-30,1,21,1,0,H,0,0,D
348,1,2016-04-30,10,3,2,1,H,1,1,D
349,1,2016-04-30,20,9,1,0,H,0,0,D
350,1,2016-04-30,24,25,1,1,D,0,0,D
351,1,2016-04-30,28,2,3,2,H,1,1,D
352,1,2016-04-30,29,30,0,3,A,0,2,A
353,1,2016-05-01,18,15,1,1,D,1,1,D
354,1,2016-05-01,23,17,4,2,H,2,1,H
