app_match_id,statsbomb_match_id,match_date,home_team,away_team,season,method
369,3754207,2016-05-11,norwich,watford,2015/2016,exact_key
323,3754209,2016-04-10,tottenham,man united,2015/2016,exact_key
361,3754210,2016-05-07,norwich,man united,2015/2016,exact_key
259,3754214,2016-02-14,aston villa,liverpool,2015/2016,exact_key
148,3754215,2015-12-05,west brom,tottenham,2015/2016,exact_key
332,3754216,2016-04-17,bournemouth,liverpool,2015/2016,exact_key
287,3754220,2016-03-06,crystal palace,liverpool,2015/2016,exact_key
297,3754224,2016-03-19,swansea,aston villa,2015/2016,exact_key
358,3754225,2016-05-07,bournemouth,west brom,2015/2016,exact_key
333,3754227,2016-04-17,leicester,west ham,2015/2016,exact_key
344,3754228,2016-04-24,leicester,swansea,2015/2016,exact_key
372,3754229,2016-05-15,chelsea,leicester,2015/2016,exact_key
271,3754231,2016-03-01,leicester,west brom,2015/2016,exact_key
276,3754232,2016-03-02,man united,watford,2015/2016,exact_key
265,3754236,2016-02-27,west brom,crystal palace,2015/2016,exact_key
268,3754239,2016-02-28,man united,arsenal,2015/2016,exact_key
320,3754241,2016-04-09,west ham,arsenal,2015/2016,exact_key
341,3754242,2016-04-23,bournemouth,chelsea,2015/2016,exact_key
308,3754243,2016-04-02,norwich,newcastle,2015/2016,exact_key
255,3754244,2016-02-13,norwich,west ham,2015/2016,exact_key
281,3754249,2016-03-05,man city,aston villa,2015/2016,exact_key
211,3754250,2016-01-16,aston villa,leicester,2015/2016,exact_key
198,3754251,2016-01-02,west ham,liverpool,2015/2016,exact_key
239,3754252,2016-02-03,everton,newcastle,2015/2016,exact_key
249,3754253,2016-02-07,bournemouth,arsenal,2015/2016,exact_key
214,3754260,2016-01-16,man city,crystal palace,2015/2016,exact_key
258,3754261,2016-02-14,arsenal,leicester,2015/2016,exact_key
314,3754262,2016-04-09,aston villa,bournemouth,2015/2016,exact_key
252,3754264,2016-02-13,chelsea,newcastle,2015/2016,exact_key
327,3754295,2016-04-16,man united,aston villa,2015/2016,exact_key
226,3754271,2016-01-23,watford,newcastle,2015/2016,exact_key
309,3754272,2016-04-02,stoke,swansea,2015/2016,exact_key
251,3754274,2016-02-13,bournemouth,stoke,2015/2016,exact_key
233,3754275,2016-02-02,leicester,liverpool,2015/2016,exact_key
280,3754277,2016-03-05,everton,west ham,2015/2016,exact_key
272,3754280,2016-03-01,norwich,chelsea,2015/2016,exact_key
250,3754281,2016-02-07,chelsea,man united,2015/2016,exact_key
340,3754282,2016-04-23,aston villa,southampton,2015/2016,exact_key
